question,option1,reason1,option2,reason2,option3,reason3,option4,reason4
Hva er et av hovedformålene med offentlig debatt?, Fremme kritisk tenkning blant borgere ," Offentlig debatt bidrar til å utfordre og utvikle individers evne til å tenke kritisk, diskutere og vurdere forskjellige perspektiver.", Å oppnå enstemmighet i samfunnet ," Enstemmighet er ofte ikke et realistisk mål i offentlig debatt, da meningen med debatt er å utforske forskjellige synspunkt og forbedre forståelsen.", Å underholde publikum ," Selv om enkelte debatter kan være underholdende, er hovedformålet å diskutere samfunnsrelevante temaer og fremme forståelse og kritisk tenkning.", Å forsvare myndighetenes synspunkter ," Offentlig debatt skal tillate en rekke synspunkter og ikke begrense seg til å forsvare en bestemt posisjon, som myndighetenes synspunkt."
Hvilket av følgende er en sentral debattnorm som fremmer en konstruktiv offentlig debatt?, Åpenhet for motargumenter ," En sentral debattnorm er åpenhet for motargumenter, da det fremmer en konstruktiv debattholdning der ulike perspektiver kan vurderes og forstås.", Personangrep mot motdebattanter , Personangrep mot motdebattanter underminerer en konstruktiv debatt og skaper en fiendtlig atmosfære som ikke fremmer meningsutveksling., Ignorering av fakta ," Å ignorere fakta undergraver grunnlaget for en rasjonell og informert debatt, noe som gjør det vanskelig å oppnå enighet eller forståelse.", Sensur av motstridende synspunkter , Sensur av motstridende synspunkter hindrer fri meningsutveksling og undertrykker muligheten for å oppnå en dypere forståelse i en debatt.
Hva er forskjellen mellom argumenters retoriske og logiske aspekter?," Retorisk handler om overtalelse og appellerer til følelser, mens logisk handler om gyldighet og sannhetsverdier. "," Retoriske aspekter fokuserer på effektiviteten av argumentet i å overbevise et publikum, mens logiske aspekter vurderer strukturen og sannheten i premissene.", Retorisk og logisk er synonymer og brukes om hverandre. ," Retorisk og logisk er ikke synonymer. De refererer til forskjellige aspekter ved argumentasjon; retorikk handler om overtalelse, mens logikk handler om struktur og gyldighet."," Retorisk refererer til strukturen i argumentet, mens logisk refererer til overbevisningskraften argumentet har. "," Dette er motsatt av den faktiske forskjellen. Retorikk refererer til overtalelse, mens logikk handler om strukturen."," Retorisk handler om anvendelse av formelle regler, mens logisk handler om kommunikasjonsevner. "," Retorisk omhandler hvordan man kan overtale og appellerer til mennesker, mens logisk handler om anvendelsen av formelle regler for å sikre gyldige argumenter."
Hva skiller riktighet og relevans i argumentasjon?," Riktighet handler om sannhet, mens relevans handler om hvorvidt argumentet har betydning for saken. "," Riktighet vurderer om premissene er sanne, mens relevans vurderer om argumentets innhold er viktig for saken."," Riktighet og relevans er det samme, begge vurderer om argumentet kan overbevise. "," Riktighet og relevans er forskjellige; riktighet vurderer sannheten, mens relevans handler om betydningen for saken."," Riktighet handler om hvor godt argumentet er strukturert, mens relevans omhandler hvorvidt det er vanskelig å forstå. "," Riktighet knytter seg til sannheten i premissene, mens relevans refererer til argumentets betydning for saken, ikke struktur eller forståelse."," Riktighet handler om antall premisser, mens relevans handler om mengden konklusjoner. "," Riktighet dreier seg om sannheten i premissene, mens relevans handler om argumentets betydning for saken, ikke antallet premisser eller konklusjoner."
Hva beskriver termen argumentasjonsstruktur?, Hvordan argumenter bygges opp med premisser og konklusjon ," Argumentasjonsstruktur refererer til måten et argument er konstruert, inkludert hvordan premissene støtter en konklusjon.", En liste over alle mulige argumenter innen et tema ," Dette beskriver ikke en struktur, men heller bredden av argumentasjon i et tema.", En oppskrift for å løse logiske gåter ," Argumentasjonsstruktur handler om hvordan man bygger argumenter, ikke nødvendigvis om problemløsning.", En metode for å eliminere dårlige argumenter fra diskusjon ," Dette beskriver ikke strukturen i et argument, men snarere en prosess for å vurdere argumenters kvalitet."
Hva kjennetegner normativ argumentasjon?, Normativ argumentasjon dreier seg om hvordan ting bør være og inkluderer verdier og normer ," Normativ argumentasjon fokuserer på etisk og verdibasert evaluering, og angir hva som anses som ønskelig eller riktig.", Normativ argumentasjon fokuserer utelukkende på fakta og empiriske data ," Denne beskrivelsen gjelder deskriptiv argumentasjon, ikke normativ argumentasjon, som handler om verdier og normer.", Normativ argumentasjon handler om tekniske spesifikasjoner og prosedyrer ," Teknisk argumentasjon handler om prosedyrer og spesifikasjoner, mens normativ argumentasjon involverer verdier og etikk.", Normativ argumentasjon ser bort fra moralske vurderinger , Normativ argumentasjon inkluderer moralske og etiske vurderinger som sentrale elementer.
Hva kalles den logiske strukturen som kobler sammen flere påstander i et argument?, Premiss , Premisser er de påstandene som støtter opp under og danner argumentets grunnlag., Konklusjon ," Konklusjonen er det endelige standpunktet man ønsker å bevise, ikke de individuelle delene som støtter argumentet.", Hypotese ," En hypotese er en antakelse eller et forslag om noe som kan være tilfelle, men den brukes ikke spesifikt til å koble sammen påstander i et argument.", Antitese ," En antitese refererer til en motstridende påstand og benyttes vanligvis i diskusjoner og dialektikk, ikke til strukturen av et argument."
Hva innebærer det at implisitte påstander inngår i et argument?," Implisitte påstander er antakelser som ikke blir eksplisitt uttrykt i argumentet, men som er nødvendige for at argumentet skal være gyldig ", Implisitte påstander er forutsatte elementer som ikke uttales direkte men som kreves for at argumentets logiske struktur skal opprettholdes, Implisitte påstander er alltid falske påstander i et argument ," Implisitte påstander er ikke nødvendigvis falske, de er rett og slett ikke uttalt direkte, men de er implisitt nødvendige for argumentets gyldighet", Implisitte påstander er hovedkonklusjonen i argumentet ," Hovedkonklusjonen i et argument er eksplisitt formulert, mens implisitte påstander er skjulte forutsetninger", Implisitte påstander innebærer en endelig avgjørelse eller dom i argumentet ," Implisitte påstander er ikke en avgjørelse eller dom, men er stilltiende betingelser som understøtter argumentet"
Hva er forskjellen mellom en innvending mot et arguments relevans og en innvending mot et arguments holdbarhet?," En innvending mot relevans argumenterer for at premissene ikke har tilstrekkelig forbindelse med konklusjonen, mens en innvending mot holdbarhet argumenterer for at premissene ikke er sanne eller ikke godt begrunnet. "," Relevans innvendinger handler om forbindelsen mellom premisser og konklusjon, mens holdbarhet innvendinger handler om sannheten i premissene."," En innvending mot relevans handler om omstendighetene der argumentet ble fremsatt, mens en innvending mot holdbarhet handler om bevisene for konklusjonen. ", Omstendighetene ved argumentasjon er ikke relevante for innvendinger om relevans eller holdbarhet.," En innvending mot relevans fokuserer på retorikken i argumentet, mens en innvending mot holdbarhet fokuserer på strukturen i argumentet. ", Verken relevans- eller holdbarhetsinnvendinger fokuserer på retorikken i argumentet.," En innvending mot relevans handler om etikk, mens en innvending mot holdbarhet handler om logikk. "," Begge typene innvendinger handler om logikk og argumentasjon, ikke etikk."
Hva kjennetegner deduktive argumenter?," Deduktive argumenter sikrer at hvis premissene er sanne, så må konklusjonen også være sann ", Deduktive argumenter er basert på en logisk struktur der sannheten av premissene nødvendigvis fører til sannheten av konklusjonen., Deduktive argumenter støtter konklusjonen med sannsynlighet ," Dette beskriver induktive argumenter, som styrker konklusjonen ved sannsynlighet, men ikke nødvendigvis gjør den sann.", Deduktive argumenter er aldri avhengig av de faktiske omstendighetene ," Deduktive argumenter er basert på logikk, men kan fortsatt feil hver dag verden, men selvom premissene er sanne er ikke alltid konklusjonen det.", Deduktive argumenter må alltid ha minst to premisser , Deduktive argumenter kan ha kun ett premiss; det essensielle er at konklusjonen følger logisk fra premissene.
